,Suburb,Nearest Train Station,Distance(km),Latitude,Longitude,Cluster_Labels_Dist_0,Cluster_Labels_Dist_1,Cluster_Labels_Dist_2,Cluster_Labels_Dist_3,Cluster_Labels_Dist_4
221,Ellis Lane,Macarthur Railway Station,12.137203896595816,-34.034956,150.6732584,0,1,0,0,0
222,Elvina Bay,Berowra Railway Station,12.36486846089718,-33.637753100000005,151.2802489,0,1,0,0,0
223,Emerton,Mount Druitt Railway Station,2.9493946182403152,-33.747702399999994,150.8043608,0,0,0,1,0
224,Emu Heights,Emu Plains Railway Station,1.9755159334370476,-33.7372235,150.6511051,1,0,0,0,0
225,Emu Plains,Emu Plains Railway Station,0.0,-33.7483333,150.6677778,1,0,0,0,0
226,Enfield,Burwood Railway Station,1.4913117979769492,-33.890062799999995,151.0959145,1,0,0,0,0
227,Engadine,Engadine Railway Station,0.32670847881474635,-34.0650134,151.0138225,1,0,0,0,0
228,Englorie Park,Macarthur Railway Station,0.9839383021727978,-34.0806577,150.7950629,1,0,0,0,0
229,Enmore,Stanmore Railway Station,0.8319965751057998,-33.8996968,151.170986,1,0,0,0,0
230,Epping,Epping Railway Station,0.7071224534969562,-33.771854600000005,151.07453669999998,1,0,0,0,0
231,Ermington,West Ryde Railway Station,2.3827644654756317,-33.8101156,151.0600559,0,0,0,1,0
232,Erskine Park,Mount Druitt Railway Station,4.587332200291618,-33.8086111,150.8013889,0,0,0,1,0
233,Erskineville,Erskineville Railway Station,0.0,-33.9021718,151.1859881,1,0,0,0,0
234,Eschol Park,Campbelltown Railway Station,3.9887329099588267,-34.0316667,150.8011111,0,0,0,1,0
235,Eveleigh,Macdonaldtown Railway Station,0.5497832667547901,-33.895,151.1913889,1,0,0,0,0
236,Fairfield,Fairfield Railway Station,0.0,-33.8728065,150.95235290000002,1,0,0,0,0
237,Fairfield East,Carramar Railway Station,1.2856300888375185,-33.874742299999994,150.9721298,1,0,0,0,0
238,Fairfield Heights,Fairfield Railway Station,1.3900632946171088,-33.8662814,150.93951059999998,1,0,0,0,0
239,Fairfield West,Fairfield Railway Station,2.622100362474915,-33.868930799999994,150.92433830000002,0,0,0,1,0
240,Fairlight,North Sydney Railway Station,7.640355109939989,-33.793878899999996,151.2741471,0,0,1,0,0
241,Fiddletown,Berowra Railway Station,9.680976796963401,-33.5569323,151.0844279,0,0,1,0,0
242,Five Dock,Croydon Railway Station,1.5747477559492913,-33.8690024,151.12902309999998,1,0,0,0,0
243,Flemington,Flemington Railway Station,0.0,-33.86486179999999,151.0699551,1,0,0,0,0
244,Forest Glen,Berowra Railway Station,14.817014902863077,-33.548333299999996,151.0177778,0,1,0,0,0
245,Forest Lodge,Newtown Railway Station,1.7383910791118382,-33.8805556,151.17833330000002,1,0,0,0,0
246,Forestville,Roseville Railway Station,3.7647165435709784,-33.7620891,151.21508889999998,0,0,0,1,0
247,Freemans Reach,Windsor Railway Station,5.03826406814405,-33.563231099999996,150.8024693,0,0,0,1,0
248,Frenchs Forest,Roseville Railway Station,5.775640095033359,-33.74799539999999,151.22927180000002,0,0,1,0,0
249,Freshwater,Roseville Railway Station,9.442062699698122,-33.7750987,151.2844815,0,0,1,0,0
250,Galston,Mount Colah Railway Station,5.435953093459382,-33.646700200000005,151.06424980000003,0,0,0,1,0
251,Georges Hall,Villawood Railway Station,2.7398231817942933,-33.9101113,150.98799240000002,0,0,0,1,0
252,Gilead,Macarthur Railway Station,4.924825780298568,-34.115,150.7844444,0,0,0,1,0
253,Girraween,Pendle Hill Railway Station,1.5402040903820484,-33.7983305,150.94277069999998,1,0,0,0,0
254,Gladesville,Rhodes Railway Station,3.6095003613272194,-33.8275,151.1263889,0,0,0,1,0
255,Glebe,Town Hall Railway Station,1.9091908686260222,-33.8777782,151.1862377,1,0,0,0,0
256,Gledswood Hills,Ingleburn Railway Station,6.686538618709084,-34.010282600000004,150.78002,0,0,1,0,0
257,Glen Alpine,Macarthur Railway Station,2.321657603788402,-34.09,150.7844444,0,0,0,1,0
258,Glendenning,Doonside Railway Station,1.776313443737026,-33.7483333,150.8511111,1,0,0,0,0
259,Glenfield,Glenfield Railway Station,0.0,-33.9733455,150.8957217,1,0,0,0,0
260,Glenhaven,Pennant Hills Railway Station,7.703491818866595,-33.7027383,151.00080490000002,0,0,1,0,0
261,Glenmore Park,Emu Plains Railway Station,4.50218898401149,-33.7887972,150.669496,0,0,0,1,0
